Stocks_name,Stocks_url,Stocks_high,Stocks_low,Stocks_last_price,Stocks_prev_close,Stocks_change,Stocks_perc_gain
Hindalco,http://www.moneycontrol.com//india/stockpricequote/aluminium/hindalcoindustries/HI,255.95,243,252.7,242,10.7,4.42
ICICI Bank,http://www.moneycontrol.com//india/stockpricequote/banks-privatesector/icicibank/ICI02,504,483,502.05,481.85,20.2,4.19
Adani Ports,http://www.moneycontrol.com//india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS,458.3,439,453.7,435.8,17.9,4.11
UltraTechCement,http://www.moneycontrol.com//india/stockpricequote/cement-major/ultratechcement/UTC01,"5,199.00","4,960.10","5,091.40","4,893.50",197.9,4.04
Sun Pharma,http://www.moneycontrol.com//india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI,572.9,545.2,569.05,548.25,20.8,3.79
Bharti Airtel,http://www.moneycontrol.com//india/stockpricequote/telecommunications-service/bhartiairtel/BA08,497.8,483.4,493.75,479.9,13.85,2.89
SBI,http://www.moneycontrol.com//india/stockpricequote/banks-publicsector/statebankindia/SBI,264.35,253.55,263.5,256.3,7.2,2.81
HUL,http://www.moneycontrol.com//india/stockpricequote/personalcare/hindustanunilever/HU,"2,195.40","2,133.60","2,184.20","2,127.75",56.45,2.65
Grasim,http://www.moneycontrol.com//india/stockpricequote/diversified/grasimindustries/GI01,946.9,913.1,931.5,910.05,21.45,2.36
Larsen,http://www.moneycontrol.com//india/stockpricequote/infrastructure-general/larsentoubro/LT,"1,162.00","1,128.75","1,149.50","1,125.15",24.35,2.16
Axis Bank,http://www.moneycontrol.com//india/stockpricequote/banks-privatesector/axisbank/AB16,616.45,603.2,614.5,602.7,11.8,1.96
IndusInd Bank,http://www.moneycontrol.com//india/stockpricequote/banks-privatesector/indusindbank/IIB,920,889.8,913.65,896.25,17.4,1.94
Nestle,http://www.moneycontrol.com//india/stockpricequote/foodprocessing/nestleindia/NI,"17,877.50","17,520.00","17,828.70","17,492.15",336.55,1.92
Kotak Mahindra,http://www.moneycontrol.com//india/stockpricequote/banks-privatesector/kotakmahindrabank/KMB,"1,857.00","1,802.40","1,846.25","1,821.00",25.25,1.39
